speeds,speed,subject,rmse,model
1.2498117277108172,1.25,ARl Sub 01,0.02595496458753367,CNN 1 (vertical)
1.2461189888982434,1.25,ARl Sub 01,0.016458281795374573,CNN 1 (vertical)
1.0363941301776505,0.98,ARl Sub 01,0.0790021501336688,CNN 1 (vertical)
1.4662997271856526,1.48,ARl Sub 01,0.014574767278922611,CNN 1 (vertical)
1.4375796770700695,1.48,ARl Sub 01,0.048559278257899484,CNN 1 (vertical)
1.2433386396306203,1.25,ARl Sub 01,0.012363909407573344,CNN 1 (vertical)
1.247474813578938,1.25,ARl Sub 01,0.012979662733732602,CNN 1 (vertical)
1.024624409327247,0.98,ARl Sub 01,0.056589086020108044,CNN 1 (vertical)
1.0260116011538247,0.98,ARl Sub 01,0.05620982461369648,CNN 1 (vertical)
1.4660716766746793,1.48,ARl Sub 01,0.015031667881905696,CNN 1 (vertical)
1.2359848946358827,1.25,ARl Sub 01,0.01959790694956676,CNN 1 (vertical)
